,address,name,last_update,lng,lat,available_bikes,available_bike_stands,number,bike_stands,banking,weekday,hour,minute
0,Blessington Street,BLESSINGTON STREET,1551744308000000000,-6.26814,53.356769,14,6,2,20,1,1,0,5
1,Blessington Street,BLESSINGTON STREET,1551744917000000000,-6.26814,53.356769,14,6,2,20,1,1,0,15
2,Blessington Street,BLESSINGTON STREET,1551745526000000000,-6.26814,53.356769,14,6,2,20,1,1,0,25
3,Blessington Street,BLESSINGTON STREET,1551745949000000000,-6.26814,53.356769,14,6,2,20,1,1,0,32
4,Blessington Street,BLESSINGTON STREET,1551746559000000000,-6.26814,53.356769,14,6,2,20,1,1,0,42
5,Blessington Street,BLESSINGTON STREET,1551747168000000000,-6.26814,53.356769,14,6,2,20,1,1,0,52
6,Blessington Street,BLESSINGTON STREET,1551747777000000000,-6.26814,53.356769,14,6,2,20,1,1,1,2
7,Blessington Street,BLESSINGTON STREET,1551748386000000000,-6.26814,53.356769,14,6,2,20,1,1,1,13
8,Blessington Street,BLESSINGTON STREET,1551748995000000000,-6.26814,53.356769,14,6,2,20,1,1,1,23
9,Blessington Street,BLESSINGTON STREET,1551749604000000000,-6.26814,53.356769,14,6,2,20,1,1,1,33
10,Blessington Street,BLESSINGTON STREET,1551750214000000000,-6.26814,53.356769,14,6,2,20,1,1,1,43
11,Blessington Street,BLESSINGTON STREET,1551750823000000000,-6.26814,53.356769,14,6,2,20,1,1,1,53
12,Blessington Street,BLESSINGTON STREET,1551751432000000000,-6.26814,53.356769,14,6,2,20,1,1,2,3
13,Blessington Street,BLESSINGTON STREET,1551752041000000000,-6.26814,53.356769,14,6,2,20,1,1,2,14
14,Blessington Street,BLESSINGTON STREET,1551752651000000000,-6.26814,53.356769,14,6,2,20,1,1,2,24
15,Blessington Street,BLESSINGTON STREET,1551753121000000000,-6.26814,53.356769,14,6,2,20,1,1,2,32
16,Blessington Street,BLESSINGTON STREET,1551753498000000000,-6.26814,53.356769,14,6,2,20,1,1,2,38
17,Blessington Street,BLESSINGTON STREET,1551754107000000000,-6.26814,53.356769,14,6,2,20,1,1,2,48
18,Blessington Street,BLESSINGTON STREET,1551754716000000000,-6.26814,53.356769,14,6,2,20,1,1,2,58
19,Blessington Street,BLESSINGTON STREET,1551755325000000000,-6.26814,53.356769,14,6,2,20,1,1,3,8
20,Blessington Street,BLESSINGTON STREET,1551755934000000000,-6.26814,53.356769,14,6,2,20,1,1,3,18
21,Blessington Street,BLESSINGTON STREET,1551756543000000000,-6.26814,53.356769,14,6,2,20,1,1,3,29
22,Blessington Street,BLESSINGTON STREET,1551757153000000000,-6.26814,53.356769,14,6,2,20,1,1,3,39
23,Blessington Street,BLESSINGTON STREET,1551757762000000000,-6.26814,53.356769,14,6,2,20,1,1,3,49
24,Blessington Street,BLESSINGTON STREET,1551758371000000000,-6.26814,53.356769,14,6,2,20,1,1,3,59
25,Blessington Street,BLESSINGTON STREET,1551758980000000000,-6.26814,53.356769,14,6,2,20,1,1,4,9
26,Blessington Street,BLESSINGTON STREET,1551759589000000000,-6.26814,53.356769,14,6,2,20,1,1,4,19
27,Blessington Street,BLESSINGTON STREET,1551760199000000000,-6.26814,53.356769,14,6,2,20,1,1,4,29
28,Blessington Street,BLESSINGTON STREET,1551760808000000000,-6.26814,53.356769,14,6,2,20,1,1,4,40
29,Blessington Street,BLESSINGTON STREET,1551761417000000000,-6.26814,53.356769,14,6,2,20,1,1,4,50
30,Blessington Street,BLESSINGTON STREET,1551762021000000000,-6.26814,53.356769,14,6,2,20,1,1,5,0
31,Blessington Street,BLESSINGTON STREET,1551762630000000000,-6.26814,53.356769,14,6,2,20,1,1,5,10
32,Blessington Street,BLESSINGTON STREET,1551763239000000000,-6.26814,53.356769,14,6,2,20,1,1,5,20
33,Blessington Street,BLESSINGTON STREET,1551763848000000000,-6.26814,53.356769,14,6,2,20,1,1,5,30
34,Blessington Street,BLESSINGTON STREET,1551764457000000000,-6.26814,53.356769,14,6,2,20,1,1,5,40
35,Blessington Street,BLESSINGTON STREET,1551765065000000000,-6.26814,53.356769,14,6,2,20,1,1,5,51
36,Blessington Street,BLESSINGTON STREET,1551765719000000000,-6.26814,53.356769,14,6,2,20,1,1,6,1
37,Blessington Street,BLESSINGTON STREET,1551766328000000000,-6.26814,53.356769,13,7,2,20,1,1,6,12
38,Blessington Street,BLESSINGTON STREET,1551766686000000000,-6.26814,53.356769,13,7,2,20,1,1,6,18
39,Blessington Street,BLESSINGTON STREET,1551766997000000000,-6.26814,53.356769,13,7,2,20,1,1,6,23
40,Blessington Street,BLESSINGTON STREET,1551767120000000000,-6.26814,53.356769,11,9,2,20,1,1,6,25
41,Blessington Street,BLESSINGTON STREET,1551767934000000000,-6.26814,53.356769,10,10,2,20,1,1,6,38
42,Blessington Street,BLESSINGTON STREET,1551768226000000000,-6.26814,53.356769,10,10,2,20,1,1,6,43
43,Blessington Street,BLESSINGTON STREET,1551768536000000000,-6.26814,53.356769,8,12,2,20,1,1,6,48
44,Blessington Street,BLESSINGTON STREET,1551768814000000000,-6.26814,53.356769,6,14,2,20,1,1,6,53
45,Blessington Street,BLESSINGTON STREET,1551768887000000000,-6.26814,53.356769,5,15,2,20,1,1,6,54
46,Blessington Street,BLESSINGTON STREET,1551769496000000000,-6.26814,53.356769,4,16,2,20,1,1,7,4
47,Blessington Street,BLESSINGTON STREET,1551770105000000000,-6.26814,53.356769,4,16,2,20,1,1,7,15
48,Blessington Street,BLESSINGTON STREET,1551770714000000000,-6.26814,53.356769,4,16,2,20,1,1,7,25
49,Blessington Street,BLESSINGTON STREET,1551770995000000000,-6.26814,53.356769,4,16,2,20,1,1,7,29
50,Blessington Street,BLESSINGTON STREET,1551771486000000000,-6.26814,53.356769,2,18,2,20,1,1,7,38
