,address,name,last_update,lng,lat,available_bikes,available_bike_stands,number,bike_stands,banking,weekday,hour,minute
0,Blessington Street,BLESSINGTON STREET,1550096495000000000,-6.26814,53.356769,6,14,2,20,1,2,22,21
1,Blessington Street,BLESSINGTON STREET,1550097104000000000,-6.26814,53.356769,5,15,2,20,1,2,22,31
2,Blessington Street,BLESSINGTON STREET,1550097712000000000,-6.26814,53.356769,5,15,2,20,1,2,22,41
3,Blessington Street,BLESSINGTON STREET,1550098320000000000,-6.26814,53.356769,5,15,2,20,1,2,22,52
4,Blessington Street,BLESSINGTON STREET,1550098806000000000,-6.26814,53.356769,6,14,2,20,1,2,23,0
5,Blessington Street,BLESSINGTON STREET,1550099208000000000,-6.26814,53.356769,6,14,2,20,1,2,23,6
6,Blessington Street,BLESSINGTON STREET,1550099642000000000,-6.26814,53.356769,6,14,2,20,1,2,23,14
7,Blessington Street,BLESSINGTON STREET,1550099841000000000,-6.26814,53.356769,8,12,2,20,1,2,23,17
8,Blessington Street,BLESSINGTON STREET,1550099952000000000,-6.26814,53.356769,9,11,2,20,1,2,23,19
9,Blessington Street,BLESSINGTON STREET,1550100408000000000,-6.26814,53.356769,9,11,2,20,1,2,23,26
10,Blessington Street,BLESSINGTON STREET,1550101017000000000,-6.26814,53.356769,8,12,2,20,1,2,23,36
11,Blessington Street,BLESSINGTON STREET,1550101625000000000,-6.26814,53.356769,8,12,2,20,1,2,23,47
12,Blessington Street,BLESSINGTON STREET,1550102294000000000,-6.26814,53.356769,8,12,2,20,1,2,23,58
13,Blessington Street,BLESSINGTON STREET,1550102902000000000,-6.26814,53.356769,8,12,2,20,1,3,0,8
14,Blessington Street,BLESSINGTON STREET,1550103512000000000,-6.26814,53.356769,8,12,2,20,1,3,0,18
15,Blessington Street,BLESSINGTON STREET,1550104120000000000,-6.26814,53.356769,8,12,2,20,1,3,0,28
16,Blessington Street,BLESSINGTON STREET,1550104323000000000,-6.26814,53.356769,8,12,2,20,1,3,0,32
17,Blessington Street,BLESSINGTON STREET,1550104931000000000,-6.26814,53.356769,8,12,2,20,1,3,0,42
18,Blessington Street,BLESSINGTON STREET,1550105540000000000,-6.26814,53.356769,8,12,2,20,1,3,0,52
19,Blessington Street,BLESSINGTON STREET,1550106148000000000,-6.26814,53.356769,8,12,2,20,1,3,1,2
20,Blessington Street,BLESSINGTON STREET,1550106756000000000,-6.26814,53.356769,8,12,2,20,1,3,1,12
21,Blessington Street,BLESSINGTON STREET,1550107365000000000,-6.26814,53.356769,8,12,2,20,1,3,1,22
22,Blessington Street,BLESSINGTON STREET,1550107975000000000,-6.26814,53.356769,8,12,2,20,1,3,1,32
23,Blessington Street,BLESSINGTON STREET,1550108583000000000,-6.26814,53.356769,8,12,2,20,1,3,1,43
24,Blessington Street,BLESSINGTON STREET,1550109192000000000,-6.26814,53.356769,8,12,2,20,1,3,1,53
